x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16
-6.6767273,170.73763,26.00465,-3.6691732,174.72635,24.925936,-10.1962185,173.98149,24.017231,2.8375065,177.04956,16.858492,-13.443957,175.64734,14.453558,16.692888,165.29736,4.3793764,-16.444407,165.147,-3.0953805,30.062689,145.08856,-8.873933,-28.76755,143.43819,-15.265627,31.352768,122.69572,-1.7953458,-25.233921,123.34424,-2.8716388,15.81174,127.79168,-19.508078,-8.450326,128.32536,-24.134895,28.129957,99.300285,1.1783097,-23.745888,103.91012,-0.09489489,40.7655,72.572296,-21.031351,-29.024881,71.58334,-15.146408
-6.6915503,170.1955,26.027082,-3.7749367,174.30093,25.124325,-10.2721,173.43457,24.139418,2.7871976,176.746,16.961096,-13.483149,175.36768,14.564562,16.76611,165.09515,4.4388413,-16.392645,164.8933,-3.2001216,29.85446,144.7042,-8.779432,-28.50733,143.0624,-15.400425,30.997358,122.2595,-1.5948186,-25.068834,123.09225,-2.8046691,15.93493,127.65077,-19.832113,-8.406726,128.23155,-24.189337,28.1343,99.29944,1.0507287,-23.735683,104.026726,-0.194222,40.810123,72.56179,-21.089432,-28.951525,71.66646,-15.221482
-6.5942535,169.02536,25.95674,-3.8038678,173.26932,25.292496,-10.27729,172.2812,24.306784,2.7091532,175.94046,17.016401,-13.523656,174.44757,14.695497,16.739948,164.56691,4.3628125,-16.340471,164.39095,-3.055469,29.113098,143.54633,-8.731445,-27.605215,142.30025,-15.386906,29.766695,121.27073,-1.1565986,-24.534773,122.50979,-2.4402337,16.01089,127.54996,-20.465538,-8.265496,128.08318,-24.292555,28.20524,99.38862,0.64739627,-23.73311,104.23646,-0.31244892,41.055244,72.521065,-21.265644,-28.922134,71.65483,-15.1712885
-6.367769,168.18655,25.971613,-3.5337143,172.41348,25.45393,-10.020661,171.52548,24.420778,2.7925262,175.28972,17.045334,-13.471169,173.81175,14.937367,16.696886,164.23288,4.330478,-16.42617,164.08632,-2.8183587,28.011736,142.67746,-8.693032,-26.698256,141.62207,-15.238973,28.213081,120.65612,-0.5821518,-23.657656,122.11646,-1.9804244,15.965994,127.77882,-21.130465,-8.29293,128.3397,-24.686237,28.229374,99.74128,0.071785696,-23.604107,104.33932,-0.6841964,41.18671,72.569786,-21.355005,-29.023876,71.58381,-15.062445
-6.1097665,167.8545,26.282158,-3.2964914,172.09567,25.741426,-9.77694,171.16618,24.71563,2.9490783,175.06851,17.267628,-13.3154545,173.66179,15.390974,16.680847,164.13995,4.1723466,-16.677633,163.98792,-2.7282164,27.264196,142.2076,-8.719291,-25.811495,141.0157,-15.337669,26.239908,120.5553,-0.060236745,-22.472012,121.8648,-1.6521792,15.731576,128.29842,-21.627474,-8.422881,128.82204,-25.028048,28.399729,100.25985,-0.6404363,-23.476967,104.47988,-1.2021172,41.247643,72.55903,-21.635033,-29.153343,71.5236,-14.939464
-5.815256,167.7031,26.446213,-3.01564,171.94855,25.959019,-9.502882,171.01045,24.931492,3.0863035,175.15279,17.492455,-13.173357,173.45778,15.646166,16.854082,164.3523,4.23413,-16.794386,164.31923,-2.6136544,26.519196,141.94443,-8.822854,-25.027647,140.94945,-15.195001,24.130625,120.62129,0.36959723,-21.020044,121.98693,-1.471347,15.43361,129.00253,-22.058603,-8.61479,129.55566,-25.324863,28.654871,100.96896,-1.3927225,-23.303116,104.900604,-1.702036,41.037292,72.73091,-21.703547,-29.448858,71.71505,-14.794443
-5.4883356,167.67763,26.565367,-2.5920522,171.87762,26.19348,-9.099996,171.11543,25.145586,3.4769943,175.26808,17.833889,-12.865635,174.06839,16.116821,16.757706,164.66154,4.0987062,-16.846466,164.8886,-2.3014376,25.668955,142.00337,-9.022637,-24.326462,141.26445,-14.653294,22.235748,120.95064,0.4245102,-19.550991,122.27308,-1.2072052,15.139,130.17615,-22.572538,-8.837767,130.68903,-25.420319,28.654392,102.02927,-2.0535939,-23.08283,105.14875,-2.4164317,40.667934,72.86666,-21.806202,-29.910196,71.68818,-14.924702
-5.0135627,167.82849,26.740503,-2.1137524,172.04053,26.596722,-8.623139,171.34294,25.514652,3.9826484,175.7029,18.318226,-12.375784,174.64087,16.572412,16.671051,165.52327,4.1500125,-16.926395,165.83865,-2.0628767,24.848402,142.71329,-9.128701,-23.753052,141.8728,-14.131062,20.353241,121.84053,0.27671137,-17.975338,122.91699,-1.2289995,14.8765545,131.51945,-22.895214,-9.086024,131.89767,-25.406826,28.509445,103.00554,-2.9857779,-22.922213,105.283455,-3.3066008,40.201675,73.16404,-21.937025,-30.653759,71.71697,-15.086156
-4.4561796,168.30026,27.205853,-1.5616014,172.51247,27.072231,-8.072577,171.8113,25.995924,4.4380803,176.29453,18.721258,-11.893436,174.9987,16.944592,16.996006,166.50157,4.1048436,-16.987488,166.87985,-1.6259743,23.981928,143.32065,-9.276725,-23.166296,142.75581,-13.494948,17.9431,122.592064,-0.055538636,-16.35604,123.34325,-1.7281332,14.679459,132.89696,-23.221434,-9.418627,133.19827,-25.39186,28.639965,104.02751,-3.7654853,-22.933374,105.4506,-4.3742113,39.668644,73.45195,-21.914927,-31.50156,71.81723,-15.195466
-3.9015353,168.67473,27.410608,-1.0214108,172.90224,27.503883,-7.555536,172.24384,26.528894,4.940204,176.89021,19.155306,-11.438538,175.68306,17.526676,17.293653,167.31679,4.0651064,-17.027298,167.881,-0.97864825,23.134903,144.04518,-9.428872,-22.536545,143.41478,-12.631834,15.506021,123.61687,-0.43049785,-14.380786,123.52368,-2.4199705,14.280372,134.2927,-23.558756,-9.795598,134.62369,-25.484594,28.518564,104.96802,-4.6460953,-22.879154,105.69413,-5.504634,39.205776,73.89294,-21.834185,-32.34309,71.824036,-15.272388
