Nosferatu,1922,F. W. Murnau
Frankenstein,1931,James Whale
Dracula,1931,Tod Browning
The Mummy,1932,Karl Freund
King Kong,1933,Merian C. Cooper
Bride of Frankenstein,1935,James Whale
The Wolf Man,1941,George Waggner
Them!,1954,Gordon Douglas
Godzilla,1954,Ishiro Honda
Creature from the Black Lagoon,1954,Jack Arnold
Curse of Frankenstein,1957,Terence Fisher
The Blob,1958,Irving S. Yearworth
Horror of Dracula,1958,Terence Fisher
Mothra,1961,Ishiro Honda
King Kong vs. Godzilla,1962,Ishiro Honda
The Birds,1963,Alfred Hitchcock
Mothra vs. Godzilla,1964,Ishiro Honda
Night of the Living Dead,1968,George Romero
Jaws,1975,Steven Spielberg
Dawn of the Dead,1978,George Romero
Alien,1979,Ridley Scott
The Howling,1981,Joe Dante
An American Werewolf in London,1981,John Landis
The Thing,1982,John Carpenter
Cujo,1983,Lewis Teague
Gremlins,1984,Joe Dante
Day of the Dead,1985,George Romero
The Fly,1986,David Cronenberg
Aliens,1986,James Cameron
Predator,1987,John McTiernan
The Blob,1988,Chuck Russell
Mimic,1997,Guillermo del Toro
Anaconda,1997,Luis Llosa
Alien Resurrection,1997,Jean-Pierre Jeunet
Lake Placid,1999,Steve Miner
The Host,2006,Bong Joon-ho
The Mist,2007,Frank Darabont
Black Water,2007,David Nerlich
Cloverfield,2008,Matt Reaves
It Follows,2014,David Robert Mitchell
The Shape of Water,2017,Guillermo del Toro
It,2017,Andy Muschietti
Alien Covenant,2017,Ridley Scott
Alien Romulus,2024,Fede Álvarez
