AudioStamp,Time,Stamp,Crewmember,Together
0,0:00:00,75:46:26,,
1,0:00:01,75:46:27,Anders,"Anders: Alright, we're going to roll."
2,0:00:07,75:46:33,Anders,Anders: Ready? Set.
6,0:00:21,75:46:47,Borman,"Borman: The impact crater was at - just prior to subsolar point on the south side, and the floor of it, didn't really get to - There is one dark hole, and I couldn't get a quick enough look at it to see if it might be anything volcanic."
27,0:01:04,75:47:30,Anders,"Anders: Oh, my God! Look at that picture over there! Here's the Earth coming up. Wow, is that pretty!"
34,0:01:11,75:47:37,Borman,"Borman: Hey, don't take that, it's not scheduled. (Chuckle.)"
38,0:01:13,75:47:39,Anders,"Anders: [Laughter.] You got a color film, Jim?"
40,0:01:20,75:47:46,Anders,"Anders: Hand me that roll of color quick, will you..."
41,0:01:22,75:47:48,Lovell,"Lovell: Oh man, that's great!"
43,0:01:24,75:47:50,Anders,Anders: ...Hurry. Quick.
44,0:01:28,75:47:54,Borman,Borman: Gee.
45,0:01:29,75:47:55,Lovell,Lovell: It's down here?
47,0:01:30,75:47:56,Anders,Anders: Just grab me a color. That color exterior.
48,0:01:34,75:48:00,Lovell,Lovell: [Garble].
49,0:01:35,75:48:01,Anders,Anders: Hurry up!
53,0:01:40,75:48:06,Borman,Borman: Got one?
56,0:01:42,75:48:08,Anders,"Anders: Yeah, I'm looking for one."
59,0:01:44,75:48:10,Lovell,Lovell: C 368.
62,0:01:45,75:48:11,Anders,"Anders: Anything, quick."
64,0:01:47,75:48:13,Lovell,Lovell: Here.
68,0:01:51,75:48:17,Anders,"Anders: Well, I think we missed it."
73,0:02:07,75:48:33,Anders,Anders: Let - let me get it out this window. It's a lot clearer.
77,0:02:11,75:48:37,Lovell,"Lovell: Bill, I got it framed; it's very clear right here."
80,0:02:14,75:48:40,Lovell,Lovell: You got it?
81,0:02:15,75:48:41,Anders,Anders: Yep.
82,0:02:16,75:48:42,Borman,"Borman: Well, take several of them."
83,0:02:17,75:48:43,Lovell,"Lovell: Take several of them! Here, give it to me."
85,0:02:18,75:48:44,Anders,"Anders: Wait a minute, let's get the right setting, here now; just calm down. Calm down, Lovell."
87,0:02:23,75:48:49,Lovell,"Lovell: Well, I got it ri - Oh, that's a beautiful shot."
93,0:02:28,75:48:54,Lovell,Lovell: 250 at f/11.
105,0:02:41,75:49:07,Anders,Anders: Okay.
106,0:02:42,75:49:08,Lovell,Lovell: Now vary the - vary the exposure a little bit.
108,0:02:43,75:49:09,Anders,Anders: I did. I took two of them.
111,0:02:45,75:49:11,Lovell,Lovell: You sure we got it now?
112,0:02:46,75:49:12,Anders,"Anders: Yes, we'll get - we'll - It'll come up again, I think."
116,0:02:51,75:49:17,Lovell,"Lovell: Just take another one, Bill."
118,,,,END OF TRANSCRIPT
