Hex,Rank,Emoji,Year,Category,Subcategory,Name,Catrank,Grouped
\x{1F438},283,🐸,2010,Animals & Nature,animal-amphibian,frog,27,1
\x{1F425},246,🐥,2010,Animals & Nature,animal-bird,front-facing baby chick,21,2
\x{1F423},256,🐣,2010,Animals & Nature,animal-bird,hatching chick,23,3
\x{1F414},314,🐔,2010,Animals & Nature,animal-bird,chicken,33,4
\x{1F54A FE0F},320,🕊️,2014,Animals & Nature,animal-bird,dove,34,5
\x{1F985},322,🦅,2016,Animals & Nature,animal-bird,eagle,35,6
\x{1F986},324,🦆,2016,Animals & Nature,animal-bird,duck,36,7
\x{1F426},396,🐦,2010,Animals & Nature,animal-bird,bird,47,8
\x{1F99C},409,🦜,2018,Animals & Nature,animal-bird,parrot,49,9
\x{1F413},452,🐓,2015,Animals & Nature,animal-bird,rooster,56,10
\x{1F983},519,🦃,2015,Animals & Nature,animal-bird,turkey,67,11
\x{1F427},526,🐧,2010,Animals & Nature,animal-bird,penguin,70,12
\x{1F424},547,🐤,2010,Animals & Nature,animal-bird,baby chick,74,13
\x{1F989},602,🦉,2016,Animals & Nature,animal-bird,owl,84,14
\x{1F99A},757,🦚,2018,Animals & Nature,animal-bird,peacock,103,15
\x{1F9A2},922,🦢,2018,Animals & Nature,animal-bird,swan,117,16
\x{1F98B},128,🦋,2016,Animals & Nature,animal-bug,butterfly,6,17
\x{1F41D},284,🐝,2010,Animals & Nature,animal-bug,honeybee,28,18
\x{1F9A0},477,🦠,2018,Animals & Nature,animal-bug,microbe,60,19
\x{1F41B},544,🐛,2010,Animals & Nature,animal-bug,bug,73,20
\x{1F41E},552,🐞,2010,Animals & Nature,animal-bug,lady beetle,75,21
\x{1F577 FE0F},578,🕷️,2014,Animals & Nature,animal-bug,spider,77,22
\x{1F997},591,🦗,2017,Animals & Nature,animal-bug,cricket,80,23
\x{1F41C},632,🐜,2010,Animals & Nature,animal-bug,ant,88,24
\x{1F40C},643,🐌,2010,Animals & Nature,animal-bug,snail,91,25
\x{1F99F},735,🦟,2018,Animals & Nature,animal-bug,mosquito,100,26
\x{1F982},815,🦂,2015,Animals & Nature,animal-bug,scorpion,111,27
\x{1F578 FE0F},876,🕸️,2014,Animals & Nature,animal-bug,spider web,115,28
\x{1F430},137,🐰,2010,Animals & Nature,animal-mammal,rabbit face,9,29
\x{1F436},169,🐶,2010,Animals & Nature,animal-mammal,dog face,11,30
\x{1F43E},198,🐾,2010,Animals & Nature,animal-mammal,paw prints,15,31
\x{1F407},211,🐇,2015,Animals & Nature,animal-mammal,rabbit,16,32
\x{1F415},216,🐕,2014,Animals & Nature,animal-mammal,dog,17,33
\x{1F437},245,🐷,2010,Animals & Nature,animal-mammal,pig face,20,34
\x{1F431},255,🐱,2010,Animals & Nature,animal-mammal,cat face,22,35
\x{1F43B},274,🐻,2010,Animals & Nature,animal-mammal,bear,25,36
\x{1F408},285,🐈,2014,Animals & Nature,animal-mammal,cat,29,37
\x{1F984},306,🦄,2015,Animals & Nature,animal-mammal,unicorn,32,38
\x{1F412},358,🐒,2010,Animals & Nature,animal-mammal,monkey,40,39
\x{1F410},366,🐐,2015,Animals & Nature,animal-mammal,goat,42,40
\x{1F981},368,🦁,2015,Animals & Nature,animal-mammal,lion,43,41
\x{1F43C},400,🐼,2010,Animals & Nature,animal-mammal,panda,48,42
\x{1F411},410,🐑,2010,Animals & Nature,animal-mammal,ewe,50,43
\x{1F98D},412,🦍,2016,Animals & Nature,animal-mammal,gorilla,52,44
\x{1F416},424,🐖,2015,Animals & Nature,animal-mammal,pig,53,45
\x{1F40E},437,🐎,2010,Animals & Nature,animal-mammal,horse,54,46
\x{1F98A},470,🦊,2016,Animals & Nature,animal-mammal,fox,57,47
\x{1F434},473,🐴,2010,Animals & Nature,animal-mammal,horse face,59,48
\x{1F43F FE0F},486,🐿️,2014,Animals & Nature,animal-mammal,chipmunk,61,49
\x{1F43A},502,🐺,2010,Animals & Nature,animal-mammal,wolf,63,50
\x{1F43D},503,🐽,2010,Animals & Nature,animal-mammal,pig nose,64,51
\x{1F404},507,🐄,2015,Animals & Nature,animal-mammal,cow,65,52
\x{1F400},522,🐀,2015,Animals & Nature,animal-mammal,rat,68,53
\x{1F42F},537,🐯,2010,Animals & Nature,animal-mammal,tiger face,72,54
\x{1F435},553,🐵,2010,Animals & Nature,animal-mammal,monkey face,76,55
\x{1F987},587,🦇,2016,Animals & Nature,animal-mammal,bat,79,56
\x{1F42E},595,🐮,2010,Animals & Nature,animal-mammal,cow face,82,57
\x{1F402},603,🐂,2015,Animals & Nature,animal-mammal,ox,85,58
\x{1F418},606,🐘,2010,Animals & Nature,animal-mammal,elephant,86,59
\x{1F98C},628,🦌,2016,Animals & Nature,animal-mammal,deer,87,60
\x{1F401},641,🐁,2015,Animals & Nature,animal-mammal,mouse,90,61
\x{1F405},675,🐅,2015,Animals & Nature,animal-mammal,tiger,93,62
\x{1F99D},677,🦝,2018,Animals & Nature,animal-mammal,raccoon,94,63
\x{1F428},691,🐨,2010,Animals & Nature,animal-mammal,koala,95,64
\x{1F429},698,🐩,2010,Animals & Nature,animal-mammal,poodle,96,65
\x{1F998},705,🦘,2018,Animals & Nature,animal-mammal,kangaroo,97,66
\x{1F42D},719,🐭,2010,Animals & Nature,animal-mammal,mouse face,98,67
\x{1F999},733,🦙,2018,Animals & Nature,animal-mammal,llama,99,68
\x{1F406},741,🐆,2015,Animals & Nature,animal-mammal,leopard,101,69
\x{1F42A},745,🐪,2015,Animals & Nature,animal-mammal,camel,102,70
\x{1F403},764,🐃,2015,Animals & Nature,animal-mammal,water buffalo,104,71
\x{1F40F},775,🐏,2015,Animals & Nature,animal-mammal,ram,105,72
\x{1F992},785,🦒,2017,Animals & Nature,animal-mammal,giraffe,108,73
\x{1F42B},805,🐫,2010,Animals & Nature,animal-mammal,two-hump camel,109,74
\x{1F439},813,🐹,2010,Animals & Nature,animal-mammal,hamster,110,75
\x{1F994},835,🦔,2017,Animals & Nature,animal-mammal,hedgehog,112,76
\x{1F99B},874,🦛,2018,Animals & Nature,animal-mammal,hippopotamus,114,77
\x{1F993},891,🦓,2017,Animals & Nature,animal-mammal,zebra,116,78
\x{1F417},960,🐗,2010,Animals & Nature,animal-mammal,boar,118,79
\x{1F98F},1044,🦏,2016,Animals & Nature,animal-mammal,rhinoceros,119,80
